date,pages,contradictions,orphans,orphan_delta,stale,stale_pct,gaps,examined,cursor,degraded
2026-08-30,829,0,75,0,312,37,0,60,815,false
2026-08-31,837,0,71,-4,312,37,0,60,29,false
2026-09-01,841,0,71,0,312,37,0,60,88,false
2026-09-02,841,0,71,0,312,37,0,60,148,false
2026-09-03,838,0,72,1,312,37,0,60,208,false
2026-09-04,839,0,73,1,312,37,0,60,268,false
2026-09-05,847,0,74,1,312,36,0,60,328,false
2026-09-06,847,0,74,0,312,36,0,60,388,false
2026-09-07,844,0,74,0,313,37,0,60,448,false
2026-09-09,868,0,78,3,320,36,0,60,508,false
2026-09-10,870,0,79,1,320,36,0,60,568,false
2026-09-11,872,0,80,1,321,36,0,60,628,false
2026-09-12,874,0,81,1,322,36,0,60,688,false
2026-09-13,868,0,81,0,324,37,0,60,748,false
2026-09-14,875,0,82,1,328,37,0,60,808,false
2026-09-15,876,0,83,1,338,38,0,60,868,false
2026-09-16,886,0,84,1,338,38,0,60,42,false
2026-09-17,892,0,85,1,342,38,0,60,102,false
2026-09-18,902,0,85,0,360,39,0,60,162,false
2026-09-19,898,2,86,1,361,40,5,60,222,false
2026-09-20,904,2,86,0,365,40,5,60,282,false
2026-09-21,898,2,86,0,367,40,5,60,342,false
